Sno,Movie_Name,Duration_min,Year,Ratings,Metascore,Director1,Director2,Director3,Director4,Director5,Director6
963,Behind Enemy Lines,106,2001,6.4,49,John Moore,N/A,N/A,N/A,N/A,N/A
964,Basic,98,2003,6.4,34,John McTiernan,N/A,N/A,N/A,N/A,N/A
965,Act of Valour,110,2012,6.4,40,Mike McCoy, Scott Waugh,N/A,N/A,N/A,N/A
966,Tango & Cash,104,1989,6.4,41,Andrey Konchalovskiy, Albert Magnoli,N/A,N/A,N/A,N/A
967,The Purge: Anarchy,103,2014,6.4,50,James DeMonaco,N/A,N/A,N/A,N/A,N/A
968,Let's Be Cops,104,2014,6.4,30,Luke Greenfield,N/A,N/A,N/A,N/A,N/A
969,The Angry Birds Movie 2,97,2019,6.4,60,Thurop Van Orman, John Rice,N/A,N/A,N/A,N/A
970,Faster,98,2010,6.4,44,George Tillman Jr.,N/A,N/A,N/A,N/A,N/A
971,DragonHeart,103,1996,6.4,49,Rob Cohen,N/A,N/A,N/A,N/A,N/A
972,Killer Elite,116,2011,6.4,44,Gary McKendry,N/A,N/A,N/A,N/A,N/A
973,The Taking of Pelham 123,106,2009,6.4,55,Tony Scott,N/A,N/A,N/A,N/A,N/A
974,The Rover,103,2014,6.4,64,David Michôd,N/A,N/A,N/A,N/A,N/A
975,Here Comes the Boom,105,2012,6.4,40,Frank Coraci,N/A,N/A,N/A,N/A,N/A
976,Black Death,102,2010,6.4,71,Christopher Smith,N/A,N/A,N/A,N/A,N/A
977,Dead Man Down,118,2013,6.4,39,Niels Arden Oplev,N/A,N/A,N/A,N/A,N/A
978,The Jackal,124,1997,6.4,36,Michael Caton-Jones,N/A,N/A,N/A,N/A,N/A
979,Star Trek: Nemesis,116,2002,6.4,51,Stuart Baird,N/A,N/A,N/A,N/A,N/A
980,Blood Father,88,2016,6.4,66,Jean-François Richet,N/A,N/A,N/A,N/A,N/A
981,Resident Evil: Degeneration,97,2008,6.4,N/A,Makoto Kamiya,N/A,N/A,N/A,N/A,N/A
982,Darkman,96,1990,6.4,65,Sam Raimi,N/A,N/A,N/A,N/A,N/A
983,Batman: The Killing Joke,76,2016,6.4,N/A,Sam Liu,N/A,N/A,N/A,N/A,N/A
984,Star Trek: Insurrection,103,1998,6.4,64,Jonathan Frakes,N/A,N/A,N/A,N/A,N/A
985,Shaft,111,2019,6.4,40,Tim Story,N/A,N/A,N/A,N/A,N/A
986,Live by Night,129,2016,6.4,49,Ben Affleck,N/A,N/A,N/A,N/A,N/A
987,Just Cause,102,1995,6.4,48,Arne Glimcher,N/A,N/A,N/A,N/A,N/A
988,The Siege,116,1998,6.4,53,Edward Zwick,N/A,N/A,N/A,N/A,N/A
989,How I Live Now,101,2013,6.4,57,Kevin Macdonald,N/A,N/A,N/A,N/A,N/A
990,The Prophecy,98,1995,6.4,44,Gregory Widen,N/A,N/A,N/A,N/A,N/A
991,Snitch,112,2013,6.4,51,Ric Roman Waugh,N/A,N/A,N/A,N/A,N/A
992,Lock Up,109,1989,6.4,52,John Flynn,N/A,N/A,N/A,N/A,N/A
993,Final Fantasy: The Spirits Within,106,2001,6.4,49,Hironobu Sakaguchi, Motonori Sakakibara,N/A,N/A,N/A,N/A
994,The Omega Man,98,1971,6.4,56,Boris Sagal,N/A,N/A,N/A,N/A,N/A
995,Black and Blue,108,2019,6.4,54,Deon Taylor,N/A,N/A,N/A,N/A,N/A
996,Contraband,109,2012,6.4,51,Baltasar Kormákur,N/A,N/A,N/A,N/A,N/A
997,Ned Kelly,110,2003,6.4,56,Gregor Jordan,N/A,N/A,N/A,N/A,N/A
998,Son of a Gun,108,2014,6.4,49,Julius Avery,N/A,N/A,N/A,N/A,N/A
999,Night Watch,114,2004,6.4,58,Timur Bekmambetov,N/A,N/A,N/A,N/A,N/A
1000,Day Watch,132,2006,6.4,59,Timur Bekmambetov,N/A,N/A,N/A,N/A,N/A
1001,Redirected,99,2014,6.4,N/A,Emilis Velyvis,N/A,N/A,N/A,N/A,N/A
1002,The Take,92,2016,6.3,48,James Watkins,N/A,N/A,N/A,N/A,N/A
1003,Black Adam,125,2022,6.3,41,Jaume Collet-Serra,N/A,N/A,N/A,N/A,N/A
1004,Operation Fortune: Ruse de Guerre,114,2023,6.3,51,Guy Ritchie,N/A,N/A,N/A,N/A,N/A
1005,Dune,137,1984,6.3,41,David Lynch,N/A,N/A,N/A,N/A,N/A
1006,Uncharted,116,2022,6.3,45,Ruben Fleischer,N/A,N/A,N/A,N/A,N/A
1007,A View to a Kill,131,1985,6.3,40,John Glen,N/A,N/A,N/A,N/A,N/A
1008,Eternals,156,2021,6.3,52,Chloé Zhao,N/A,N/A,N/A,N/A,N/A
1009,The Commuter,104,2018,6.3,56,Jaume Collet-Serra,N/A,N/A,N/A,N/A,N/A
1010,Knight and Day,109,2010,6.3,46,James Mangold,N/A,N/A,N/A,N/A,N/A
1011,Spider-Man 3,139,2007,6.3,59,Sam Raimi,N/A,N/A,N/A,N/A,N/A
1012,Red Notice,118,2021,6.3,37,Rawson Marshall Thurber,N/A,N/A,N/A,N/A,N/A
1013,The King's Man,131,2021,6.3,44,Matthew Vaughn,N/A,N/A,N/A,N/A,N/A
1014,Terminator 3: Rise of the Machines,109,2003,6.3,66,Jonathan Mostow,N/A,N/A,N/A,N/A,N/A
1015,Ocean's Eight,110,2018,6.3,61,Gary Ross,N/A,N/A,N/A,N/A,N/A
1016,Godzilla vs,113,2021,6.3,59,Adam Wingard,N/A,N/A,N/A,N/A,N/A
1017,Sky High,100,2005,6.3,62,Mike Mitchell,N/A,N/A,N/A,N/A,N/A
1018,The Shallows,86,2016,6.3,59,Jaume Collet-Serra,N/A,N/A,N/A,N/A,N/A
1019,Terminator Genisys,126,2015,6.3,38,Alan Taylor,N/A,N/A,N/A,N/A,N/A
1020,Run Hide Fight,109,2020,6.3,13,Kyle Rankin,N/A,N/A,N/A,N/A,N/A
1021,Polar,118,2019,6.3,19,Jonas Åkerlund,N/A,N/A,N/A,N/A,N/A
1022,Waterworld,135,1995,6.3,56,Kevin Reynolds,N/A,N/A,N/A,N/A,N/A
1023,Tomb Raider,119,2018,6.3,48,Roar Uthaug,N/A,N/A,N/A,N/A,N/A
1024,White House Down,131,2013,6.3,52,Roland Emmerich,N/A,N/A,N/A,N/A,N/A
1025,Free Fire,91,2016,6.3,63,Ben Wheatley,N/A,N/A,N/A,N/A,N/A
1026,Death Wish,107,2018,6.3,31,Eli Roth,N/A,N/A,N/A,N/A,N/A
1027,Ghost in the Shell,107,2017,6.3,52,Rupert Sanders,N/A,N/A,N/A,N/A,N/A
1028,Miss Congeniality,109,2000,6.3,43,Donald Petrie,N/A,N/A,N/A,N/A,N/A
1029,Central Intelligence,107,2016,6.3,52,Rawson Marshall Thurber,N/A,N/A,N/A,N/A,N/A
1030,The Bodyguard,129,1992,6.3,39,Mick Jackson,N/A,N/A,N/A,N/A,N/A
1031,Guns Akimbo,98,2019,6.3,42,Jason Howden,N/A,N/A,N/A,N/A,N/A
1032,King Arthur,126,2004,6.3,46,Antoine Fuqua,N/A,N/A,N/A,N/A,N/A
1033,Unlocked,98,2017,6.3,46,Michael Apted,N/A,N/A,N/A,N/A,N/A
1034,Red Dawn,114,1984,6.3,53,John Milius,N/A,N/A,N/A,N/A,N/A
1035,Maze Runner: The Scorch Trials,131,2015,6.3,43,Wes Ball,N/A,N/A,N/A,N/A,N/A
1036,Transporter 2,87,2005,6.3,56,Louis Leterrier,N/A,N/A,N/A,N/A,N/A
1037,This Means War,103,2012,6.3,31,McG,N/A,N/A,N/A,N/A,N/A
1038,The Last Stand,107,2013,6.3,54,Jee-woon Kim,N/A,N/A,N/A,N/A,N/A
1039,Johnny English Reborn,101,2011,6.3,46,Oliver Parker,N/A,N/A,N/A,N/A,N/A
1040,The Angry Birds Movie,97,2016,6.3,43,Clay Kaytis, Fergal Reilly,N/A,N/A,N/A,N/A
1041,Predator 2,108,1990,6.3,46,Stephen Hopkins,N/A,N/A,N/A,N/A,N/A
1042,Bright,117,2017,6.3,29,David Ayer,N/A,N/A,N/A,N/A,N/A
1043,Jack the Giant Slayer,114,2013,6.3,51,Bryan Singer,N/A,N/A,N/A,N/A,N/A
1044,Spectral,107,2016,6.3,N/A,Nic Mathieu,N/A,N/A,N/A,N/A,N/A
1045,Walking Tall,86,2004,6.3,44,Kevin Bray,N/A,N/A,N/A,N/A,N/A
1046,Sand Castle,113,2017,6.3,45,Fernando Coimbra,N/A,N/A,N/A,N/A,N/A
1047,Scouts Guide to the Zombie Apocalypse,93,2015,6.3,32,Christopher Landon,N/A,N/A,N/A,N/A,N/A
1048,Revolver,111,2005,6.3,25,Guy Ritchie,N/A,N/A,N/A,N/A,N/A
1049,Beowulf,115,2007,6.3,59,Robert Zemeckis,N/A,N/A,N/A,N/A,N/A
1050,The Collector,90,2009,6.3,29,Marcus Dunstan,N/A,N/A,N/A,N/A,N/A
1051,The American,105,2010,6.3,61,Anton Corbijn,N/A,N/A,N/A,N/A,N/A
1052,#Alive,98,2020,6.3,N/A,Il Cho,N/A,N/A,N/A,N/A,N/A
1053,Criminal,113,2016,6.3,36,Ariel Vromen,N/A,N/A,N/A,N/A,N/A
1054,Paycheck,119,2003,6.3,43,John Woo,N/A,N/A,N/A,N/A,N/A
1055,Once Upon a Time in Mexico,102,2003,6.3,56,Robert Rodriguez,N/A,N/A,N/A,N/A,N/A
1056,My Spy,99,2020,6.3,46,Peter Segal,N/A,N/A,N/A,N/A,N/A
1057,Mr,95,2015,6.3,52,Paco Cabezas,N/A,N/A,N/A,N/A,N/A
1058,The Black Cauldron,80,1985,6.3,59,Ted Berman, Richard Rich,N/A,N/A,N/A,N/A
1059,Entrapment,113,1999,6.3,54,Jon Amiel,N/A,N/A,N/A,N/A,N/A
1060,Every Which Way But Loose,114,1978,6.3,41,James Fargo,N/A,N/A,N/A,N/A,N/A
1061,Triple 9,115,2016,6.3,52,John Hillcoat,N/A,N/A,N/A,N/A,N/A
1062,Surrogates,89,2009,6.3,45,Jonathan Mostow,N/A,N/A,N/A,N/A,N/A
1063,The November Man,108,2014,6.3,38,Roger Donaldson,N/A,N/A,N/A,N/A,N/A
1064,Ninja Assassin,99,2009,6.3,34,James McTeigue,N/A,N/A,N/A,N/A,N/A
1065,Centurion,97,2010,6.3,62,Neil Marshall,N/A,N/A,N/A,N/A,N/A
1066,The Dead Pool,91,1988,6.3,46,Buddy Van Horn,N/A,N/A,N/A,N/A,N/A
1067,Underworld: Awakening,88,2012,6.3,39,Måns Mårlind, Björn Stein,N/A,N/A,N/A,N/A
1068,Blue Streak,93,1999,6.3,46,Les Mayfield,N/A,N/A,N/A,N/A,N/A
1069,Repo Men,111,2010,6.3,32,Miguel Sapochnik,N/A,N/A,N/A,N/A,N/A
1070,Osmosis Jones,95,2001,6.3,57,Bobby Farrelly, Peter Farrelly,N/A,N/A,N/A,N/A
1071,Risen,107,2016,6.3,51,Kevin Reynolds,N/A,N/A,N/A,N/A,N/A
1072,Assault on Precinct 13,109,2005,6.3,54,Jean-François Richet,N/A,N/A,N/A,N/A,N/A
1073,7500,93,2019,6.3,58,Patrick Vollrath,N/A,N/A,N/A,N/A,N/A
1074,Assassins,133,1995,6.3,N/A,Richard Donner,N/A,N/A,N/A,N/A,N/A
1075,The 51st State,93,2001,6.3,23,Ronny Yu,N/A,N/A,N/A,N/A,N/A
1076,Escape from the Planet of the Apes,98,1971,6.3,69,Don Taylor,N/A,N/A,N/A,N/A,N/A
1077,Proof of Life,135,2000,6.3,45,Taylor Hackford,N/A,N/A,N/A,N/A,N/A
1078,Nick of Time,90,1995,6.3,N/A,John Badham,N/A,N/A,N/A,N/A,N/A
1079,ARQ,88,2016,6.3,N/A,Tony Elliott,N/A,N/A,N/A,N/A,N/A
1080,The Necessary Death of Charlie Countryman,103,2013,6.3,31,Fredrik Bond,N/A,N/A,N/A,N/A,N/A
1081,Thor: Love and Thunder,118,2022,6.2,57,Taika Waititi,N/A,N/A,N/A,N/A,N/A
1082,Indiana Jones and the Kingdom of the Crystal Skull,122,2008,6.2,65,Steven Spielberg,N/A,N/A,N/A,N/A,N/A
1083,Pearl Harbor,183,2001,6.2,44,Michael Bay,N/A,N/A,N/A,N/A,N/A
1084,Transformers: Dark of the Moon,154,2011,6.2,42,Michael Bay,N/A,N/A,N/A,N/A,N/A
1085,The Legend of Tarzan,110,2016,6.2,44,David Yates,N/A,N/A,N/A,N/A,N/A
1086,Transcendence,119,2014,6.2,42,Wally Pfister,N/A,N/A,N/A,N/A,N/A
1087,Terminator: Dark Fate,128,2019,6.2,54,Tim Miller,N/A,N/A,N/A,N/A,N/A
1088,Deep Impact,120,1998,6.2,40,Mimi Leder,N/A,N/A,N/A,N/A,N/A
1089,The Karate Kid,140,2010,6.2,61,Harald Zwart,N/A,N/A,N/A,N/A,N/A
1090,Alien Resurrection,109,1997,6.2,63,Jean-Pierre Jeunet,N/A,N/A,N/A,N/A,N/A
1091,Johnny English Strikes Again,89,2018,6.2,39,David Kerr,N/A,N/A,N/A,N/A,N/A
1092,Captain Underpants: The First Epic Movie,89,2017,6.2,69,David Soren,N/A,N/A,N/A,N/A,N/A
1093,Men in Black II,88,2002,6.2,49,Barry Sonnenfeld,N/A,N/A,N/A,N/A,N/A
1094,Total Recall,118,2012,6.2,43,Len Wiseman,N/A,N/A,N/A,N/A,N/A
1095,Mad Max Beyond Thunderdome,107,1985,6.2,71,George Miller, George Ogilvie,N/A,N/A,N/A,N/A
1096,300: Rise of an Empire,102,2014,6.2,48,Noam Murro,N/A,N/A,N/A,N/A,N/A
1097,TMNT,87,2007,6.2,41,Kevin Munroe,N/A,N/A,N/A,N/A,N/A
1098,Knowing,121,2009,6.2,41,Alex Proyas,N/A,N/A,N/A,N/A,N/A
1099,Dick Tracy,105,1990,6.2,68,Warren Beatty,N/A,N/A,N/A,N/A,N/A
1100,Hitman,100,2007,6.2,35,Xavier Gens,N/A,N/A,N/A,N/A,N/A
1101,Rush Hour 3,91,2007,6.2,44,Brett Ratner,N/A,N/A,N/A,N/A,N/A
1102,Kindergarten Cop,111,1990,6.2,61,Ivan Reitman,N/A,N/A,N/A,N/A,N/A
1103,In the Shadow of the Moon,115,2019,6.2,48,Jim Mickle,N/A,N/A,N/A,N/A,N/A
1104,Austin Powers in Goldmember,94,2002,6.2,62,Jay Roach,N/A,N/A,N/A,N/A,N/A
1105,Maze Runner: The Death Cure,143,2018,6.2,50,Wes Ball,N/A,N/A,N/A,N/A,N/A
1106,Johnny English,88,2003,6.2,51,Peter Howitt,N/A,N/A,N/A,N/A,N/A
1107,Moonraker,126,1979,6.2,66,Lewis Gilbert,N/A,N/A,N/A,N/A,N/A
1108,Reign of Fire,101,2002,6.2,39,Rob Bowman,N/A,N/A,N/A,N/A,N/A
1109,Jack Ryan: Shadow Recruit,105,2014,6.2,57,Kenneth Branagh,N/A,N/A,N/A,N/A,N/A
1110,Insurgent,119,2015,6.2,42,Robert Schwentke,N/A,N/A,N/A,N/A,N/A
1111,47 Ronin,128,2013,6.2,28,Carl Rinsch,N/A,N/A,N/A,N/A,N/A
1112,Small Soldiers,108,1998,6.2,N/A,Joe Dante,N/A,N/A,N/A,N/A,N/A
1113,Zathura: A Space Adventure,101,2005,6.2,67,Jon Favreau,N/A,N/A,N/A,N/A,N/A
1114,Outlander,115,2008,6.2,40,Howard McCain,N/A,N/A,N/A,N/A,N/A
1115,The Cannonball Run,95,1981,6.2,28,Hal Needham,N/A,N/A,N/A,N/A,N/A
1116,Kate,106,2021,6.2,47,Cedric Nicolas-Troyan,N/A,N/A,N/A,N/A,N/A
1117,The Devil's Own,111,1997,6.2,53,Alan J. Pakula,N/A,N/A,N/A,N/A,N/A
1118,Parker,118,2013,6.2,42,Taylor Hackford,N/A,N/A,N/A,N/A,N/A
1119,Inferno,121,2016,6.2,42,Ron Howard,N/A,N/A,N/A,N/A,N/A
1120,Spenser Confidential,111,2020,6.2,49,Peter Berg,N/A,N/A,N/A,N/A,N/A
1121,Dracula Untold,92,2014,6.2,40,Gary Shore,N/A,N/A,N/A,N/A,N/A
1122,Deliver Us from Evil,118,2014,6.2,40,Scott Derrickson,N/A,N/A,N/A,N/A,N/A
1123,Shanghai Knights,114,2003,6.2,58,David Dobkin,N/A,N/A,N/A,N/A,N/A
1124,The Silencing,93,2020,6.2,N/A,Robin Pront,N/A,N/A,N/A,N/A,N/A
1125,The Wall,88,2017,6.2,57,Doug Liman,N/A,N/A,N/A,N/A,N/A
1126,Copshop,107,2021,6.2,61,Joe Carnahan,N/A,N/A,N/A,N/A,N/A
1127,Takers,107,2010,6.2,45,John Luessenhop,N/A,N/A,N/A,N/A,N/A
1128,Grimsby,83,2016,6.2,44,Louis Leterrier,N/A,N/A,N/A,N/A,N/A
1129,3 Days to Kill,117,2014,6.2,40,McG,N/A,N/A,N/A,N/A,N/A
1130,American Assassin,111,2017,6.2,45,Michael Cuesta,N/A,N/A,N/A,N/A,N/A
1131,Taken 2,92,2012,6.2,45,Olivier Megaton,N/A,N/A,N/A,N/A,N/A
1132,Rogue,99,2007,6.2,N/A,Greg McLean,N/A,N/A,N/A,N/A,N/A
1133,Cold Pursuit,119,2019,6.2,57,Hans Petter Moland,N/A,N/A,N/A,N/A,N/A
1134,Redemption,100,2013,6.2,43,Steven Knight,N/A,N/A,N/A,N/A,N/A
1135,Time Trap,87,2017,6.2,46,Mark Dennis, Ben Foster,N/A,N/A,N/A,N/A
1136,A.W.O.L.: Absent Without Leave,108,1990,6.2,41,Sheldon Lettich,N/A,N/A,N/A,N/A,N/A
1137,Eraser,115,1996,6.2,56,Chuck Russell,N/A,N/A,N/A,N/A,N/A
1138,Death Race 2000,80,1975,6.2,58,Paul Bartel,N/A,N/A,N/A,N/A,N/A
1139,Tower Heist,104,2011,6.2,59,Brett Ratner,N/A,N/A,N/A,N/A,N/A
1140,War,103,2007,6.2,36,Philip G. Atwell,N/A,N/A,N/A,N/A,N/A
1141,Feast,95,2005,6.2,43,John Gulager,N/A,N/A,N/A,N/A,N/A
1142,Keanu,100,2016,6.2,63,Peter Atencio,N/A,N/A,N/A,N/A,N/A
1143,Next,96,2007,6.2,42,Lee Tamahori,N/A,N/A,N/A,N/A,N/A
1144,The Toxic Avenger,82,1984,6.2,42,Michael Herz, Lloyd Kaufman,N/A,N/A,N/A,N/A
1145,Resident Evil: Extinction,94,2007,6.2,41,Russell Mulcahy,N/A,N/A,N/A,N/A,N/A
1146,The Losers,97,2010,6.2,44,Sylvain White,N/A,N/A,N/A,N/A,N/A
1147,Hard Target,97,1993,6.2,63,John Woo,N/A,N/A,N/A,N/A,N/A
1148,Stuber,93,2019,6.2,42,Michael Dowse,N/A,N/A,N/A,N/A,N/A
1149,The Saint,116,1997,6.2,50,Phillip Noyce,N/A,N/A,N/A,N/A,N/A
1150,Kung Pow: Enter the Fist,81,2002,6.2,14,Steve Oedekerk,N/A,N/A,N/A,N/A,N/A
1151,The Outsider,120,2018,6.2,30,Martin Zandvliet,N/A,N/A,N/A,N/A,N/A
1152,The Eagle,114,2011,6.2,55,Kevin Macdonald,N/A,N/A,N/A,N/A,N/A
1153,Last Knights,115,2015,6.2,27,Kazuaki Kiriya,N/A,N/A,N/A,N/A,N/A
1154,The Boondock Saints II: All Saints Day,118,2009,6.2,24,Troy Duffy,N/A,N/A,N/A,N/A,N/A
1155,Rising Sun,125,1993,6.2,56,Philip Kaufman,N/A,N/A,N/A,N/A,N/A
1156,Loaded Weapon 1,84,1993,6.2,30,Gene Quintano,N/A,N/A,N/A,N/A,N/A
1157,Pokémon: The First Movie,96,1998,6.2,35,Kunihiko Yuyama,N/A,N/A,N/A,N/A,N/A
1158,Blown Away,121,1994,6.2,N/A,Stephen Hopkins,N/A,N/A,N/A,N/A,N/A
1159,Destroyer,121,2018,6.2,62,Karyn Kusama,N/A,N/A,N/A,N/A,N/A
1160,Astro Boy,94,2009,6.2,53,David Bowers,N/A,N/A,N/A,N/A,N/A
1161,After the Sunset,97,2004,6.2,38,Brett Ratner,N/A,N/A,N/A,N/A,N/A
1162,A Lonely Place to Die,99,2011,6.2,N/A,Julian Gilbey,N/A,N/A,N/A,N/A,N/A
1163,Mr,101,1997,6.2,N/A,Sammo Kam-Bo Hung,N/A,N/A,N/A,N/A,N/A
1164,Money Talks,97,1997,6.2,N/A,Brett Ratner,N/A,N/A,N/A,N/A,N/A
1165,The Warrior's Way,100,2010,6.2,45,Sngmoo Lee,N/A,N/A,N/A,N/A,N/A
1166,Dabangg,126,2010,6.2,N/A,Abhinav Kashyap,N/A,N/A,N/A,N/A,N/A
1167,Ong Bak 2,98,2008,6.2,47,Tony Jaa, Panna Rittikrai,N/A,N/A,N/A,N/A
1168,Toofaan,163,2021,6.2,N/A,Rakeysh Omprakash Mehra,N/A,N/A,N/A,N/A,N/A
1169,The Legend of Tomiris,156,2019,6.2,N/A,Akan Satayev,N/A,N/A,N/A,N/A,N/A
1170,Transformers: Rise of the Beasts,127,2023,6.1,42,Steven Caple Jr.,N/A,N/A,N/A,N/A,N/A
1171,Mission: Impossible II,123,2000,6.1,59,John Woo,N/A,N/A,N/A,N/A,N/A
1172,Ant-Man and the Wasp: Quantumania,124,2023,6.1,48,Peyton Reed,N/A,N/A,N/A,N/A,N/A
1173,Birds of Prey,109,2020,6.1,60,Cathy Yan,N/A,N/A,N/A,N/A,N/A
1174,Never Say Never Again,134,1983,6.1,68,Irvin Kershner,N/A,N/A,N/A,N/A,N/A
1175,Justice League,120,2017,6.1,45,Zack Snyder,N/A,N/A,N/A,N/A,N/A
1176,The Lost City,112,2022,6.1,60,Aaron Nee, Adam Nee,N/A,N/A,N/A,N/A
1177,Ambulance,136,2022,6.1,55,Michael Bay,N/A,N/A,N/A,N/A,N/A
1178,Rampage,107,2018,6.1,45,Brad Peyton,N/A,N/A,N/A,N/A,N/A
1179,Mortal Engines,128,2018,6.1,44,Christian Rivers,N/A,N/A,N/A,N/A,N/A
1180,6 Underground,128,2019,6.1,41,Michael Bay,N/A,N/A,N/A,N/A,N/A
1181,Hotel Artemis,94,2018,6.1,58,Drew Pearce,N/A,N/A,N/A,N/A,N/A
1182,Jurassic World: Fallen Kingdom,128,2018,6.1,51,J.A. Bayona,N/A,N/A,N/A,N/A,N/A
1183,Snow White and the Huntsman,127,2012,6.1,57,Rupert Sanders,N/A,N/A,N/A,N/A,N/A
1184,Mortal Kombat,110,2021,6.1,44,Simon McQuoid,N/A,N/A,N/A,N/A,N/A
1185,Ride Along,99,2014,6.1,41,Tim Story,N/A,N/A,N/A,N/A,N/A
1186,The Huntsman: Winter's War,114,2016,6.1,35,Cedric Nicolas-Troyan,N/A,N/A,N/A,N/A,N/A
1187,The Hitman's Wife's Bodyguard,100,2021,6.1,32,Patrick Hughes,N/A,N/A,N/A,N/A,N/A
1188,Superman Returns,154,2006,6.1,72,Bryan Singer,N/A,N/A,N/A,N/A,N/A
1189,Jack Reacher: Never Go Back,118,2016,6.1,47,Edward Zwick,N/A,N/A,N/A,N/A,N/A
1190,Day Shift,113,2022,6.1,51,J.J. Perry,N/A,N/A,N/A,N/A,N/A
1191,Lightyear,105,2022,6.1,60,Angus MacLane,N/A,N/A,N/A,N/A,N/A
1192,San Andreas,114,2015,6.1,43,Brad Peyton,N/A,N/A,N/A,N/A,N/A
1193,RoboCop,117,2014,6.1,52,José Padilha,N/A,N/A,N/A,N/A,N/A
1194,Gunpowder Milkshake,114,2021,6.1,47,Navot Papushado,N/A,N/A,N/A,N/A,N/A
1195,Die Another Day,133,2002,6.1,56,Lee Tamahori,N/A,N/A,N/A,N/A,N/A
1196,Lou,107,2022,6.1,51,Anna Foerster,N/A,N/A,N/A,N/A,N/A
1197,Days of Thunder,107,1990,6.1,60,Tony Scott,N/A,N/A,N/A,N/A,N/A
1198,Hansel & Gretel: Witch Hunters,88,2013,6.1,23,Tommy Wirkola,N/A,N/A,N/A,N/A,N/A
1199,The Expendables 3,126,2014,6.1,35,Patrick Hughes,N/A,N/A,N/A,N/A,N/A
1200,The Postman,177,1997,6.1,29,Kevin Costner,N/A,N/A,N/A,N/A,N/A
1201,The Girl in the Spider's Web,115,2018,6.1,43,Fede Alvarez,N/A,N/A,N/A,N/A,N/A
1202,Krull,116,1983,6.1,45,Peter Yates,N/A,N/A,N/A,N/A,N/A
1203,Jumper,88,2008,6.1,35,Doug Liman,N/A,N/A,N/A,N/A,N/A
1204,Rambo: Last Blood,89,2019,6.1,26,Adrian Grunberg,N/A,N/A,N/A,N/A,N/A
1205,I Am Number Four,111,2011,6.1,36,D.J. Caruso,N/A,N/A,N/A,N/A,N/A
1206,Lifeforce,101,1985,6.1,50,Tobe Hooper,N/A,N/A,N/A,N/A,N/A
1207,The Karate Kid Part II,113,1986,6.1,55,John G. Avildsen,N/A,N/A,N/A,N/A,N/A
1208,The Protégé,109,2021,6.1,48,Martin Campbell,N/A,N/A,N/A,N/A,N/A
1209,Mile 22,94,2018,6.1,38,Peter Berg,N/A,N/A,N/A,N/A,N/A
1210,Crawl,87,2019,6.1,60,Alexandre Aja,N/A,N/A,N/A,N/A,N/A
1211,Speed Racer,135,2008,6.1,37,Lana Wachowski, Lilly Wachowski,N/A,N/A,N/A,N/A
1212,Dora and the Lost City of Gold,102,2019,6.1,63,James Bobin,N/A,N/A,N/A,N/A,N/A
1213,Resident Evil: Apocalypse,94,2004,6.1,35,Alexander Witt,N/A,N/A,N/A,N/A,N/A
1214,Mystery Men,121,1999,6.1,65,Kinka Usher,N/A,N/A,N/A,N/A,N/A
1215,The Sorcerer's Apprentice,109,2010,6.1,46,Jon Turteltaub,N/A,N/A,N/A,N/A,N/A
1216,Blitz,97,2011,6.1,N/A,Elliott Lester,N/A,N/A,N/A,N/A,N/A
1217,Code 8,98,2019,6.1,48,Jeff Chan,N/A,N/A,N/A,N/A,N/A
1218,Blood Red Sky,121,2021,6.1,43,Peter Thorwarth,N/A,N/A,N/A,N/A,N/A
1219,Universal Soldier,102,1992,6.1,35,Roland Emmerich,N/A,N/A,N/A,N/A,N/A
1220,Deep Rising,106,1998,6.1,N/A,Stephen Sommers,N/A,N/A,N/A,N/A,N/A
1221,The Promise,133,2016,6.1,49,Terry George,N/A,N/A,N/A,N/A,N/A
1222,Solomon Kane,104,2009,6.1,48,M.J. Bassett,N/A,N/A,N/A,N/A,N/A
1223,Red Heat,104,1988,6.1,61,Walter Hill,N/A,N/A,N/A,N/A,N/A
1224,Big Stan,105,2007,6.1,N/A,Rob Schneider,N/A,N/A,N/A,N/A,N/A
1225,Crank 2: High Voltage,96,2009,6.1,41,Mark Neveldine, Brian Taylor,N/A,N/A,N/A,N/A
1226,Flight of the Phoenix,113,2004,6.1,47,John Moore,N/A,N/A,N/A,N/A,N/A
1227,Push,111,2009,6.1,36,Paul McGuigan,N/A,N/A,N/A,N/A,N/A
1228,Broken Arrow,108,1996,6.1,61,John Woo,N/A,N/A,N/A,N/A,N/A
1229,John Carpenter's Vampires,108,1998,6.1,42,John Carpenter,N/A,N/A,N/A,N/A,N/A
1230,Sphere,134,1998,6.1,35,Barry Levinson,N/A,N/A,N/A,N/A,N/A
1231,Windtalkers,134,2002,6.1,51,John Woo,N/A,N/A,N/A,N/A,N/A
1232,Point of No Return,109,1993,6.1,53,John Badham,N/A,N/A,N/A,N/A,N/A
1233,Romeo Must Die,115,2000,6.1,52,Andrzej Bartkowiak,N/A,N/A,N/A,N/A,N/A
1234,The Sentinel,108,2006,6.1,49,Clark Johnson,N/A,N/A,N/A,N/A,N/A
1235,Hit and Run,100,2012,6.1,50,David Palmer, Dax Shepard,N/A,N/A,N/A,N/A
1236,Red State,88,2011,6.1,50,Kevin Smith,N/A,N/A,N/A,N/A,N/A
